STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME     MAXIMUM    AT TIME

   2 RFOR   16388 FX        FX         42.84      0.2000E-001  2610.       1.260

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:51:25  FEB 13, 2022 CP=   8592.328

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
   0.20000E-01   42.8437
   0.40000E-01   85.6875
   0.60000E-01   128.531
   0.80000E-01   171.375
   0.10000       214.219
   0.12000       257.062
   0.14000       299.906
   0.16000       342.750
   0.18000       385.594
   0.20000       428.437
   0.22000       471.281
   0.24000       514.125
   0.26000       556.968
   0.28000       599.812
   0.30000       642.656
   0.32000       685.500
   0.34000       728.343
   0.36000       771.185
   0.38000       814.022
   0.40000       856.849
   0.42000       899.649
   0.44000       942.396
   0.46000       985.161
   0.48000       1027.89
   0.50000       1070.58
   0.52000       1113.16
   0.54000       1155.53
   0.56000       1197.71
   0.58000       1239.30
   0.60000       1280.13
   0.62000       1321.10
   0.64000       1362.21
   0.66000       1402.78
   0.68000       1443.43
   0.70000       1484.98
   0.72000       1526.60
   0.74000       1568.06
   0.76000       1609.89
   0.78000       1651.54
   0.80000       1693.31
   0.82000       1735.08
   0.84000       1776.63
   0.86000       1818.53
   0.88000       1860.29
   0.90000       1901.66
   0.92000       1942.81
   0.94000       1984.21
   0.96000       2025.56
   0.98000       2067.12
    1.0000       2108.83

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:51:25  FEB 13, 2022 CP=   8592.328

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.0200       2150.53
    1.0400       2191.89
    1.0600       2233.30
    1.0800       2274.65
    1.1000       2315.20
    1.1200       2356.66
    1.1400       2398.05
    1.1600       2439.47
    1.1800       2481.16
    1.2000       2522.28
    1.2200       2562.23
    1.2400       2596.76
    1.2600       2609.73
    1.2800       2559.78
    1.3000       2408.85
    1.3200       2013.25
    1.3400       1650.34
    1.3600       1264.70
    1.3800       1003.56
    1.4000       746.334
    1.4200       529.127
    1.4400       303.911
    1.4600       195.832
    1.4800       154.677
    1.5000       140.773
    1.5200       129.961
    1.5400       122.747
    1.5600       114.565
    1.5800       105.937
    1.6000       102.369
    1.6200       99.1975
    1.6400       92.5356
    1.6600       87.0485
    1.6800       82.1506
    1.7000       78.0326
    1.7200       76.4129
    1.7400       74.2097
    1.7600       73.5714
    1.7800       73.1442
    1.8000       72.3490
    1.8200       71.2748
    1.8400       71.3640
    1.8600       71.5389
    1.8800       71.7910
    1.9000       70.9346
    1.9200       70.9788
    1.9400       70.7806
    1.9600       70.6177
    1.9800       69.9780
    1.9900       69.7066

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 18.1     18.1     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   16:51:25  FEB 13, 2022 CP=   8592.328

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       RFOR FX
                  FX
    1.9950       69.0640
    1.9970       68.5867
    1.9985       67.6233
    2.0000       66.4048
